color,director_name,num_critic_for_reviews,duration,gross,genres,movie_title,num_voted_users,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score
 Black and White,Elia Kazan,94,125,,Drama,A Streetcar Named DesireÂ ,78454,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,233,English,USA,PG,1800000,1951,8
 Black and White,Stanley Kubrick,192,95,,Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the BombÂ ,342585,bomber|doomsday|general|u.s. president|war room,839,English,USA,PG,1800000,1964,8.5
Color,Sergio Leone,164,145,,Western,Once Upon a Time in the WestÂ ,216005,gang|gun|harmonica|killing|woman in bathtub,565,English,Italy,PG-13,5000000,1968,8.6
Color,Edward Dmytryk,10,113,,Western,ShalakoÂ ,1978,bare chested male bondage|european|female frontal nudity|topless woman|war paint,41,English,UK,PG,1455000,1968,5.5
Color,Bernardo Bertolucci,120,106,,Drama,The ConformistÂ ,17813,fascist|gun|italy|nudity|sexuality,101,Italian,Italy,R,750000,1970,8.1
Color,Alfred Hitchcock,110,116,,Thriller,FrenzyÂ ,30982,penknife|police|rape|serial killer|united kingdom,199,English,UK,R,2000000,1972,7.5
 Black and White,Woody Allen,50,88,,Comedy,Everything You Always Wanted to Know About Sex * But Were Afraid to AskÂ ,31077,aphrodisiac|court jester|jester|queen|written and directed by cast member,78,English,USA,R,2000000,1972,6.8
Color,Ingmar Bergman,76,91,,Drama,Cries & WhispersÂ ,19964,dying|love|mansion|selfishness|turn of the century,197,Swedish,Sweden,R,400000,1972,8.2
Color,William Friedkin,304,132,204565000,Horror,The ExorcistÂ ,284252,demonic possession|exorcism|exorcist|loss of innocence|priest,1058,English,USA,R,8000000,1973,8
 Black and White,Mel Brooks,129,106,86300000,Comedy,Young FrankensteinÂ ,112671,assistant|castle|experiment|frankenstein's monster|scientist,315,English,USA,PG,2800000,1974,8
Color,Milos Forman,149,133,112000000,Drama,One Flew Over the Cuckoo's NestÂ ,680041,1960s|escape|mental institution|nurse|sexuality,760,English,USA,R,4400000,1975,8.7
Color,Jack Smight,41,91,,Sci-Fi,Damnation AlleyÂ ,3701,cockroach|desert|ghost town|giant spider|travel,71,English,USA,PG,17000000,1977,5.2
Color,John Boorman,82,118,,Horror,Exorcist II: The HereticÂ ,16294,demon|exorcism|locust|priest|repressed memory,252,English,USA,R,14000000,1977,3.7
